customer_key,customer_id,age,gender,state,city,customer_type,customer_segment,loan_type,customer_since_date,age_group,region
531,28aae191-63e5-4fa8-b8b2-dc201679a6ee,36,M,Tamil Nadu,Chennai,Corporate,Mass,Personal Loan,2022-12-21,36-45,South
532,910ce9c5-354e-484d-8326-d57ae5e9c181,39,F,Maharashtra,Pune,Retail,Mass,Home Loan,2022-04-23,36-45,West
533,e73a553d-2cf6-49ae-ba74-8a0acac87e8f,48,F,Delhi,Delhi,Retail,Mass,Credit Card,2021-08-05,46-55,North
534,c0d1f8e7-781a-4327-8f6b-4fd97288a923,54,F,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2023-12-29,46-55,South
535,9ece3360-9349-4916-ac8c-d245a49a5266,37,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2025-02-02,36-45,West
536,aa0a5bdc-91e5-454b-a065-c30aeca3627f,47,F,Karnataka,Bengaluru,Retail,Premium,Credit Card,2021-05-20,46-55,South
537,2f3824f8-2ae6-4230-ae09-9e70607564a5,29,F,Telangana,Hyderabad,Retail,Mass,Credit Card,2021-10-30,26-35,South
538,13df785b-a391-41dc-ab2d-0194d9bf3366,47,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2023-01-31,46-55,West
539,81efebf6-d75e-4825-a404-91b5fc58ff19,28,F,Maharashtra,Mumbai,Corporate,Mass,None,2025-10-15,26-35,West
540,c03a9e28-52a7-459a-ae7c-f9670b9012bc,51,F,Uttar Pradesh,Noida,SME,Mass,Personal Loan,2023-06-11,46-55,North
541,1c55a1ea-ad2a-4e6c-bb78-55b1929b9a69,64,F,Andhra Pradesh,Vijayawada,Retail,Premium,Credit Card,2022-08-12,56-65,South
542,92b2c7c3-bd56-4e1a-be1c-8e5e26ad6a4a,36,M,Telangana,Hyderabad,Retail,Mass,Personal Loan,2021-04-20,36-45,South
543,4d1bc66a-a473-446a-a2f3-85c8280f2dcf,18,M,Uttar Pradesh,Noida,Retail,Mass,Home Loan,2023-03-22,18-25,North
544,b5330f3a-6135-495b-be9f-e3caf1ce5433,31,F,Andhra Pradesh,Visakhapatnam,Retail,High Value,Credit Card,2023-06-21,26-35,South
545,2e1b7ef5-8b5e-4b4d-9edf-7bd7069aa45e,52,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2023-12-04,46-55,West
546,a3db44fa-d151-489c-ad26-893423df91dc,44,M,Delhi,Delhi,Corporate,Mass,Home Loan,2023-09-26,36-45,North
547,9d787e12-a4b3-4e33-860d-561becf61544,40,F,Delhi,Delhi,Retail,Premium,Credit Card,2025-11-30,36-45,North
548,24a0fe0c-49a9-41ba-aee4-a99070161a40,50,M,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2025-06-08,46-55,West
549,af562774-561c-48e4-949e-5e7801bf6a9b,43,M,Maharashtra,Pune,Retail,Premium,Credit Card,2021-11-11,36-45,West
550,4d2659ad-04fb-4c6a-a684-476ea17b03f5,52,M,Delhi,Delhi,Retail,Mass,Personal Loan,2024-01-08,46-55,North
551,6fcd3639-6619-4539-9cca-417d3ebd1b06,49,M,Delhi,Delhi,Retail,Mass,Auto Loan,2021-05-06,46-55,North
552,ce134561-6469-4759-8b6e-824e93bfa26a,56,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2023-10-30,56-65,West
553,77eec494-e298-46ab-a628-dd43939d9332,42,F,Maharashtra,Mumbai,Retail,Mass,Home Loan,2020-07-18,36-45,West
554,aa9294d5-5a83-49f2-b1c6-a83392234535,48,F,Gujarat,Ahmedabad,Retail,Mass,Auto Loan,2025-01-05,46-55,West
555,8b1c417a-896f-41e6-9bef-a229df19a2b7,34,F,Maharashtra,Mumbai,Retail,Wealth,Home Loan,2024-12-21,26-35,West
556,2cf85c99-93a8-48f6-841a-cdf195f897ae,30,F,Karnataka,Bengaluru,Retail,Premium,Credit Card,2022-10-14,26-35,South
557,4aa346fc-5a75-4ac9-8855-5e8111342832,58,M,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2021-08-10,56-65,South
558,b1f513dc-1b81-4e9e-8e00-2b0e55d2f607,40,F,Delhi,Delhi,SME,Mass,Credit Card,2025-03-20,36-45,North
559,97176a61-68da-4216-8ed9-a95db276d3ec,47,M,Telangana,Hyderabad,Retail,Premium,Auto Loan,2023-04-02,46-55,South
560,1f4c2476-26f2-484e-8ec8-c48485cf9a96,39,M,Delhi,Delhi,Retail,Mass,Auto Loan,2024-10-11,36-45,North
561,aa4ec3d4-189c-49b4-96f6-5dcb349d5075,30,F,Maharashtra,Mumbai,Retail,Mass,Home Loan,2021-12-19,26-35,West
562,3b93e0bf-6280-461b-b39c-79f4f6186313,38,F,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2022-12-06,36-45,South
563,a18f8e2c-f0c7-49ba-9c18-63c639041d93,55,M,Uttar Pradesh,Noida,Retail,Premium,Personal Loan,2022-06-03,46-55,North
564,cb938c4d-75b5-46ee-b80c-360ebf04b18e,44,F,Tamil Nadu,Chennai,Retail,Premium,Auto Loan,2024-07-13,36-45,South
565,1efa5926-3db3-41be-8185-98b68357a216,18,M,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2024-06-03,18-25,South
566,881b11ec-1b00-4800-abc0-55568fc9027c,35,M,Tamil Nadu,Chennai,Corporate,Mass,Credit Card,2022-07-02,26-35,South
567,6bc857a2-8503-49b1-9445-3d608aa38b58,59,M,Maharashtra,Pune,Retail,Premium,Credit Card,2024-01-27,56-65,West
568,68f3a3d0-6d96-4bbd-9009-2ce793283ef2,35,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2022-03-22,26-35,West
569,f586fe57-0a4d-4ac5-b842-c876fb4a2c8a,18,M,Delhi,Delhi,SME,Premium,Credit Card,2025-02-28,18-25,North
570,cd3d83f6-cf2f-4275-a8d1-6f293cd7df43,60,M,Telangana,Hyderabad,Retail,Mass,None,2024-05-09,56-65,South
571,dfbdceef-6b28-40e2-8e20-105e9b4ad032,46,M,Karnataka,Bengaluru,Retail,Premium,Home Loan,2025-06-12,46-55,South
572,a6cc0dd9-119f-4e9a-90d1-3f8a9edfbcf8,37,M,Uttar Pradesh,Noida,Retail,High Value,Credit Card,2025-07-11,36-45,North
573,8c882538-230e-4624-bb58-6d1767a387e8,33,F,Delhi,Delhi,Retail,Premium,Credit Card,2024-07-26,26-35,North
574,a0b6cd60-014e-48d9-bc1f-e44bff178083,50,F,Maharashtra,Pune,Retail,Mass,Auto Loan,2023-04-29,46-55,West
575,c90cf5b1-f20a-4994-96c3-afe151980b1f,31,F,Uttar Pradesh,Noida,Retail,Premium,Credit Card,2025-03-19,26-35,North
576,873e8c67-7f32-45e4-a80a-45298f8c76c5,51,M,Telangana,Hyderabad,Retail,Mass,Credit Card,2025-06-30,46-55,South
577,6bd46154-7647-48f5-850b-60c22505e5bc,44,F,Gujarat,Ahmedabad,SME,Mass,Credit Card,2021-03-14,36-45,West
578,0ba9be19-82c7-4445-8caa-dba9cdf6e2b6,40,F,Telangana,Hyderabad,Retail,Mass,Personal Loan,2023-03-08,36-45,South
579,53af593f-67d0-4b07-95d1-5a1a1aababa3,39,M,Uttar Pradesh,Noida,Retail,High Value,Personal Loan,2022-01-31,36-45,North
580,d835d57f-ffcc-4871-94f1-1c3a0fb01062,35,M,Karnataka,Bengaluru,Retail,Mass,Auto Loan,2022-01-10,26-35,South
581,70951b1f-f579-4f74-8ddb-419b3b47b7c2,50,M,Delhi,Delhi,Retail,High Value,Credit Card,2025-06-12,46-55,North
582,3f935a21-4829-4569-add5-c8ff60eb7e1e,27,M,Telangana,Hyderabad,Retail,Mass,Personal Loan,2022-08-10,26-35,South
583,89afddac-b9e5-48d0-a7d0-a4eba5fab603,18,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2021-04-16,18-25,West
584,a307de21-6282-4c07-917b-d70406d25e6e,45,M,Delhi,Delhi,SME,Mass,None,2023-07-20,36-45,North
585,a2669840-a9d1-4712-b9ed-b140b56121f7,45,M,West Bengal,Kolkata,Retail,Premium,Credit Card,2021-04-13,36-45,East
586,d1407583-d889-43f0-a4ec-41563a29dda7,43,F,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2020-10-28,36-45,South
587,e3814ddc-5f64-4fda-aca9-0fdf32671aa5,42,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2023-01-05,36-45,West
588,5b80a72f-0c5f-4ba3-abca-06bbd7c33374,34,M,Karnataka,Bengaluru,Retail,Mass,None,2025-06-12,26-35,South
589,65435169-52e6-4752-9e36-34156b517690,47,F,Maharashtra,Mumbai,Retail,Mass,Auto Loan,2022-08-16,46-55,West
590,b3f9bc0f-39a0-47cf-8962-26b08494d064,37,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2021-03-08,36-45,West
591,6b0f103c-8223-45b1-b7eb-3f0c2c39b581,32,M,West Bengal,Kolkata,Retail,Mass,Personal Loan,2022-10-31,26-35,East
592,9a5ab387-e25e-4b38-99f4-9e58c90abc8a,34,M,Delhi,Delhi,Retail,Mass,Credit Card,2021-08-15,26-35,North
593,ec9b2547-90cd-42f5-be17-e9513d06d49b,62,M,Karnataka,Bengaluru,Retail,Wealth,Home Loan,2023-01-27,56-65,South
594,483f4caa-a2df-47bc-a320-38b2c7584eb9,18,M,Telangana,Hyderabad,Retail,Mass,Home Loan,2023-09-15,18-25,South
595,5ddc10f2-8a55-4b10-b00c-132815a0c540,43,M,Maharashtra,Mumbai,Retail,Mass,None,2020-10-28,36-45,West
596,520a7025-2480-4f5a-912e-6d78369e37c3,18,M,Karnataka,Bengaluru,Retail,Mass,Credit Card,2025-03-02,18-25,South
597,1292c8fc-89b9-4a24-820c-e360baf88595,36,O,Maharashtra,Pune,Retail,Mass,Personal Loan,2023-07-21,36-45,West
598,ed70d687-ff22-4f3a-a517-d0675b9f98c2,32,F,Tamil Nadu,Chennai,Retail,Premium,Credit Card,2025-02-24,26-35,South
599,fe896fea-74ec-4fee-ac29-4fa4dd5ed277,18,M,Andhra Pradesh,Vijayawada,Retail,Mass,Home Loan,2022-06-02,18-25,South
600,e302bc4a-26c2-4b10-8f72-7fe8fad4c60e,42,M,Tamil Nadu,Chennai,SME,Mass,Personal Loan,2020-12-15,36-45,South
601,7ce15f82-39e3-4f05-b485-9039f14fd586,33,M,Delhi,Delhi,Retail,Premium,Personal Loan,2020-07-16,26-35,North
602,cb2bf5ce-7457-476b-841e-7e22ec370d03,18,F,Maharashtra,Pune,Retail,Mass,Credit Card,2024-09-21,18-25,West
603,121a2ef8-4a6a-47df-a4d5-d049fd725e45,48,F,Gujarat,Ahmedabad,Corporate,High Value,Credit Card,2022-01-07,46-55,West
604,36728bee-8d4f-473f-9c79-784e7cdf6591,55,M,Maharashtra,Pune,Retail,Wealth,Home Loan,2021-03-20,46-55,West
605,709d1412-275c-437e-9621-d422e67d03d5,55,M,Rajasthan,Jaipur,Retail,Mass,Personal Loan,2021-06-09,46-55,North
606,444e6158-f6d1-4806-9a02-73943f2f9868,42,M,Haryana,Gurugram,Retail,Mass,Personal Loan,2023-04-01,36-45,North
607,3caf1eb6-33fd-445d-b7df-4c6be60fc0fe,38,F,Uttar Pradesh,Noida,Retail,Mass,Personal Loan,2025-01-18,36-45,North
608,6f387a67-3c59-410c-8254-88c633501707,53,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2023-06-23,46-55,West
609,c0f5260c-901b-477f-97b4-310070adea7a,58,M,Maharashtra,Pune,Corporate,Mass,Home Loan,2021-10-02,56-65,West
610,0d17ffd4-ed24-4d16-b019-a687c85046de,51,F,Delhi,Delhi,Retail,Mass,Credit Card,2022-08-11,46-55,North
611,e39c63e9-a478-44b7-b0c0-eaa635f80c8d,26,M,Telangana,Hyderabad,Retail,Mass,Credit Card,2023-11-17,26-35,South
612,667dd2d9-af6e-470a-95ed-d2e2fcad035e,40,F,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2024-10-28,36-45,South
613,b4756a84-dc71-4069-ace2-3fc0b60a59a0,43,F,Rajasthan,Jaipur,SME,Mass,Credit Card,2022-06-08,36-45,North
614,96820f5a-43f6-4f88-b21d-b41ae52052d6,18,M,Andhra Pradesh,Vijayawada,Retail,Wealth,None,2023-08-29,18-25,South
615,284b4458-76b2-4a28-89d9-e1bf6d21e0a8,43,M,Karnataka,Bengaluru,Retail,High Value,Home Loan,2023-06-02,36-45,South
616,90a6e411-78c8-4f4b-b3c2-a3b7c6029870,65,F,Maharashtra,Pune,Retail,Mass,Personal Loan,2020-11-12,56-65,West
617,779ce203-28e0-43fa-aff0-aef1bfb7a97d,45,M,Maharashtra,Pune,Retail,Premium,Credit Card,2025-12-14,36-45,West
618,d6e9ea2c-746e-43ae-99de-a7d875934bd9,55,F,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2024-09-12,46-55,South
619,ab3bdd91-02ef-44fd-90a5-a1de484001ba,40,M,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2020-12-19,36-45,West
620,b7db1556-47cd-4581-abc3-44be601a67cf,37,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2020-12-15,36-45,West
621,8eaeedb9-00b7-4e95-8fb6-865a107936c8,42,M,Maharashtra,Pune,Retail,High Value,Personal Loan,2024-05-06,36-45,West
622,e40b37fe-0bb3-4245-87b5-b2b15d20e2a1,28,M,Delhi,Delhi,Retail,Mass,Personal Loan,2020-07-23,26-35,North
623,741ad73e-03c8-4564-8589-45efc54c1c22,26,M,Andhra Pradesh,Vijayawada,Retail,Mass,Home Loan,2024-11-04,26-35,South
624,46154f37-e663-421e-9497-c034c336d486,53,M,Delhi,Delhi,Retail,Wealth,Personal Loan,2025-09-20,46-55,North
625,de10b2c6-e87c-42c0-9441-4622e5b1186a,54,M,Kerala,Kochi,Retail,Mass,Home Loan,2024-04-27,46-55,South
626,abfe618c-bcb7-4471-a628-1035f694bf2a,26,F,Delhi,Delhi,Retail,Mass,Auto Loan,2023-02-04,26-35,North
627,7f7ec98b-00c0-4f3e-9efc-c26e228d5750,49,M,Haryana,Gurugram,Retail,Premium,Credit Card,2025-12-20,46-55,North
628,fcdf845a-864f-4142-8563-4bb5fba9c1ca,36,M,Maharashtra,Mumbai,Retail,Premium,Credit Card,2025-01-23,36-45,West
629,9c47a7ce-04d9-427f-be2c-e44179a4990e,42,M,Telangana,Hyderabad,SME,Premium,Home Loan,2021-09-03,36-45,South
630,bef86ab1-f7ce-4953-8d77-8e80ddfbf79e,43,M,Haryana,Gurugram,Retail,Premium,Personal Loan,2022-08-07,36-45,North
631,8075effc-6cec-4240-a719-0932add02e6d,49,F,West Bengal,Kolkata,Retail,Premium,Credit Card,2022-09-09,46-55,East
632,6cba42e9-5a3b-46be-a0f6-74fd30b94f6b,38,F,Haryana,Gurugram,Retail,Mass,Credit Card,2020-08-01,36-45,North
633,589f0b6f-70c2-40be-a40b-e6149f54eccc,54,M,Maharashtra,Mumbai,SME,Premium,Home Loan,2024-10-02,46-55,West
634,990b3773-4204-4c6f-91b3-0830ff10436e,41,F,Delhi,Delhi,Retail,Premium,Home Loan,2021-02-03,36-45,North
635,bc62a5e0-75e4-4d36-895c-804f44dd99f6,45,F,Maharashtra,Mumbai,Retail,High Value,Home Loan,2024-01-22,36-45,West
636,ce2dc763-8faf-485d-b34b-73779f57d3ea,28,O,Maharashtra,Mumbai,Retail,Mass,Credit Card,2020-12-09,26-35,West
637,f1e099e8-b516-4dcf-8357-2040ab1f2f0b,63,M,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2021-09-18,56-65,South
638,e3f5fca5-0cbd-40f3-9498-056c850cece3,43,M,Maharashtra,Pune,SME,Premium,Home Loan,2024-11-01,36-45,West
639,8ea1d6a3-3d37-413d-979c-7b5b81cce56a,46,M,Maharashtra,Pune,SME,Mass,Auto Loan,2024-11-09,46-55,West
640,cba32b3f-3979-435a-9b36-a3c51668382c,18,F,Uttar Pradesh,Noida,Retail,Mass,Credit Card,2023-01-13,18-25,North
641,d9d1aae1-5f5d-4c93-b8ce-33a16f859787,28,F,Maharashtra,Pune,Retail,Premium,None,2023-04-02,26-35,West
642,96101729-5183-4e54-8e03-ccf180952345,52,M,Haryana,Gurugram,Retail,Mass,Auto Loan,2024-09-19,46-55,North
643,e7cc9211-88c5-42be-90cf-174efb3cb140,41,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2024-07-30,36-45,West
644,a1764766-8ea2-4455-a723-894d98d0b581,18,F,Karnataka,Bengaluru,SME,Mass,Personal Loan,2021-01-29,18-25,South
645,bdcc334d-705e-45d5-9582-0db99487230a,50,F,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2021-11-16,46-55,South
646,cf72bcf2-986d-443b-8acc-4bcc439eb4d0,31,M,Uttar Pradesh,Noida,Retail,Premium,Home Loan,2024-12-15,26-35,North
647,501628ad-9dbb-4b07-9059-cb20af3ac393,54,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2022-01-12,46-55,West
648,6db6b62a-c72e-42be-abff-e4dc63d02359,36,M,Telangana,Hyderabad,Retail,Mass,Credit Card,2025-02-28,36-45,South
649,b84e3ff2-e4f9-4bcd-9c06-f7826d951862,40,M,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2023-07-26,36-45,South
650,6b93a9df-ac29-4528-be3a-bea49e46dea1,52,M,Maharashtra,Mumbai,Retail,Mass,Auto Loan,2025-12-08,46-55,West
651,31cb1d6e-b778-4f41-ab75-96a84f888715,27,F,Delhi,Delhi,Retail,Mass,Home Loan,2022-06-13,26-35,North
652,82243c46-d635-465f-a23c-724c5007065f,26,F,Gujarat,Ahmedabad,Retail,Mass,Home Loan,2025-01-03,26-35,West
653,705a51c0-0762-4615-abbc-c7b18e275bbc,35,M,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2024-09-16,26-35,South
654,8c902a4e-0887-4749-86d0-c1bd9356e823,47,M,Karnataka,Bengaluru,Corporate,Mass,Personal Loan,2024-12-18,46-55,South
655,1eaba425-d5ae-48c6-ae41-c4a12d473f5d,22,M,Uttar Pradesh,Noida,Retail,Mass,Credit Card,2024-12-31,18-25,North
656,44202e15-4dba-4b79-b94e-8b9553f9c38e,18,M,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2025-07-31,18-25,South
657,f39fe807-50e2-4bff-a640-5add2f58096d,47,M,Uttar Pradesh,Noida,Retail,Mass,Credit Card,2022-12-20,46-55,North
658,7a925319-29c9-4940-8c55-7e9567888fe2,30,M,Karnataka,Bengaluru,Retail,Mass,None,2021-04-02,26-35,South
659,06858e45-418e-4d14-b649-ffa4dde9214d,33,M,Telangana,Hyderabad,Retail,Mass,Credit Card,2024-05-08,26-35,South
660,1887a838-1191-4e66-86c9-0cc975236280,18,M,Delhi,Delhi,Retail,Mass,Credit Card,2021-09-25,18-25,North
661,95189960-a8c5-42c6-855a-1b5ca5e73e48,29,M,Karnataka,Bengaluru,Retail,Mass,Credit Card,2023-01-10,26-35,South
662,7b1eabb3-3c39-423c-8e49-0574b8ed62a1,37,F,Gujarat,Ahmedabad,Retail,Premium,Home Loan,2024-08-11,36-45,West
663,5440cfa4-7db2-4b20-9bc0-daf1cc9ea3b0,49,M,Maharashtra,Mumbai,SME,Mass,Credit Card,2025-08-31,46-55,West
664,6da071e1-e944-417f-a94f-e83084525283,28,F,Maharashtra,Mumbai,Retail,Premium,Credit Card,2021-09-18,26-35,West
665,d995c66d-d197-4d88-87cb-f3241fe32e9e,57,F,Karnataka,Bengaluru,Retail,Premium,Personal Loan,2025-11-17,56-65,South
666,d9d0243a-ac3c-4c85-ba62-08dc1d3373fa,29,F,Maharashtra,Pune,Retail,Mass,Credit Card,2023-09-10,26-35,West
667,94d0c490-ef0a-4595-920a-58e3446ffd8b,29,M,Haryana,Gurugram,Retail,Mass,Personal Loan,2025-10-25,26-35,North
668,f00d8622-20dd-4bb3-ab5c-3071b730bf63,56,M,Andhra Pradesh,Visakhapatnam,Retail,Mass,Credit Card,2021-10-03,56-65,South
669,e5ad2be3-6071-431c-94dc-614e62f5fba7,40,F,Karnataka,Bengaluru,Retail,Mass,Home Loan,2020-08-01,36-45,South
670,b98cf1ed-369c-4aad-9a00-27adf746b8c4,31,M,Delhi,Delhi,Retail,Mass,Personal Loan,2024-03-26,26-35,North
671,4665b246-6ffe-45fd-ad75-9cbfb1f7fa44,36,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2024-04-14,36-45,West
672,5b1215a1-c32b-4c24-b55e-04b231986fbe,54,M,Telangana,Hyderabad,Retail,Premium,Personal Loan,2022-11-29,46-55,South
673,9bb0ec62-e73e-4576-bfe4-3f42031149ef,55,M,Andhra Pradesh,Visakhapatnam,Retail,Mass,Personal Loan,2023-04-04,46-55,South
674,c3824a25-3feb-4508-b86d-464ab26b9c47,28,M,Maharashtra,Pune,Retail,Premium,Personal Loan,2023-11-30,26-35,West
675,83461dd8-3c3a-4758-a5fc-c5daed71375e,37,F,Telangana,Hyderabad,Retail,Premium,Personal Loan,2024-01-01,36-45,South
676,b231c387-96ba-4493-b474-b1325425397b,39,M,Delhi,Delhi,Retail,Mass,None,2024-12-22,36-45,North
677,49a08dfa-bafe-4bb4-9177-71642d6918be,26,M,West Bengal,Kolkata,Retail,High Value,None,2024-08-18,26-35,East
678,0b46f0b8-b43b-416d-b261-8d447731d80d,37,F,Delhi,Delhi,Retail,Wealth,Credit Card,2022-10-18,36-45,North
679,b4b67b5c-2230-40ff-af9e-43f4f856c87f,38,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2021-12-25,36-45,West
680,e4016c5e-77ad-4518-82e1-674a898b12fc,51,F,Delhi,Delhi,Retail,Mass,Home Loan,2021-11-22,46-55,North
681,3557cf47-e9f6-424a-af9b-450b1a8a4d01,52,M,Maharashtra,Mumbai,Retail,Mass,Auto Loan,2023-03-06,46-55,West
682,39705f2b-2b51-49d2-b25c-0023570cb6d2,34,M,Karnataka,Bengaluru,Retail,Mass,Credit Card,2021-11-17,26-35,South
683,e8c4b9e1-d9fd-4ddd-bdaf-976e069856f4,35,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2022-10-05,26-35,West
684,b7e069c3-c53d-4d8c-bb2a-87f4c6e71841,45,M,Delhi,Delhi,SME,Mass,Credit Card,2024-01-20,36-45,North
685,ceca8b62-e3c6-49ff-ab87-ec705b9c2053,30,M,Tamil Nadu,Chennai,Retail,Mass,None,2024-01-26,26-35,South
686,471c3e70-8fb9-473f-9003-2d08093aa31a,45,F,Karnataka,Bengaluru,Retail,Premium,Personal Loan,2023-03-01,36-45,South
687,6961b168-977a-4a17-9748-e66f4cd0fb8e,36,F,Delhi,Delhi,Corporate,Mass,Credit Card,2024-04-26,36-45,North
688,7c509081-1897-4ce4-8902-721c5a4bedb3,26,F,Rajasthan,Jaipur,Retail,Mass,Credit Card,2021-10-27,26-35,North
689,014f9a05-d7d3-4a24-9659-9ecc6f24e3ee,26,M,Maharashtra,Pune,Retail,Mass,Credit Card,2024-12-27,26-35,West
690,7038da10-e197-45f1-b0cf-4b2cf6dfaa72,55,M,Telangana,Hyderabad,Retail,Premium,Credit Card,2025-09-15,46-55,South
691,238a553a-85fa-4659-bce2-3d2caef5eb76,36,F,Karnataka,Bengaluru,Retail,Premium,Credit Card,2023-04-25,36-45,South
692,bfb94757-e644-4f40-a7ff-79ba6fe592ba,57,M,Gujarat,Ahmedabad,Retail,Mass,Auto Loan,2025-08-11,56-65,West
693,bdc3da2c-1cd5-48c6-8edb-0343313c34c0,31,M,Karnataka,Bengaluru,Retail,Premium,Home Loan,2024-12-14,26-35,South
694,f819902c-9b69-4d43-9553-3517bd5563b5,41,F,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2023-12-11,36-45,South
695,b282b27c-2fc7-42c2-aff0-e587703d3499,66,M,Gujarat,Ahmedabad,Retail,Premium,Home Loan,2025-12-24,65+,West
696,c7ddaac3-b690-4808-ac0c-f1e7404536f4,25,M,Telangana,Hyderabad,Retail,Mass,Home Loan,2024-10-12,18-25,South
697,ce3142e3-5166-4906-a319-91b5d9303419,18,M,Maharashtra,Pune,Retail,Mass,Credit Card,2023-01-08,18-25,West
698,9bf79974-f3b9-4a02-9030-76802109448c,53,M,Telangana,Hyderabad,Retail,Premium,Credit Card,2023-12-14,46-55,South
699,b8d96e91-c1fc-47e3-ac17-f7bfd9dd0ebc,28,F,Tamil Nadu,Chennai,Retail,High Value,Home Loan,2021-02-04,26-35,South
700,b44b44db-5868-48f0-9f90-2ee98cbe255a,37,F,Karnataka,Bengaluru,Retail,Premium,Credit Card,2025-06-28,36-45,South
701,8c639773-c99a-4bc5-9f6c-506718e417f3,30,M,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2022-01-23,26-35,South
702,98cd4eaa-a892-461f-817a-088d671517d9,41,M,Karnataka,Bengaluru,Retail,Premium,Personal Loan,2022-10-05,36-45,South
703,527d8cc9-3cc7-4ad7-ae7b-74d7ac03fdef,26,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2022-06-23,26-35,West
704,79511ab8-7171-4685-b61a-e57fb188cf9b,35,M,Gujarat,Ahmedabad,Retail,Premium,Credit Card,2022-04-29,26-35,West
705,782b9c14-5d02-47c7-8874-752cc9144a45,43,M,Karnataka,Bengaluru,SME,Premium,Personal Loan,2025-09-19,36-45,South
706,60abe208-c8c1-4883-a8c6-2faf3e15b46a,25,F,Telangana,Hyderabad,Retail,Mass,Credit Card,2021-09-01,18-25,South
707,bf898f22-6158-4241-853c-2c396cad754c,29,M,Haryana,Gurugram,Retail,Mass,Credit Card,2024-03-10,26-35,North
708,792ff8a0-68c7-4ef0-ba2d-c937750ffbd4,33,M,Haryana,Gurugram,Retail,Mass,Home Loan,2022-06-10,26-35,North
709,1fb1ada3-930a-4914-8286-c59a75cf7125,20,F,Delhi,Delhi,SME,Mass,Credit Card,2024-05-24,18-25,North
710,5607bcd6-3373-48f6-8683-d16fc40a01bd,32,M,Delhi,Delhi,Retail,Mass,Auto Loan,2023-11-01,26-35,North
711,9864d2ff-65b1-4de2-a88c-866dc7379bf8,39,F,Andhra Pradesh,Visakhapatnam,Retail,Mass,Auto Loan,2022-03-03,36-45,South
712,445e6541-731e-4b61-b535-feb30e8bfc85,33,M,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2020-11-19,26-35,South
713,1e2a552d-7118-46b7-8d5f-4567eb3329f5,34,M,Haryana,Gurugram,Retail,Mass,Credit Card,2021-03-13,26-35,North
714,a6da9cd1-ea00-435d-8a99-a7aa533263f4,37,F,Gujarat,Ahmedabad,SME,Mass,Personal Loan,2022-01-10,36-45,West
715,0b8fc8f4-417b-4422-8f86-3e64856e07aa,30,M,Haryana,Gurugram,Retail,Premium,Home Loan,2023-01-20,26-35,North
716,e603ca51-a12e-4632-b6d5-5028716cd772,46,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2023-02-11,46-55,West
717,58ff4cdf-516a-4b10-90ad-692f70285120,55,M,Telangana,Hyderabad,Retail,Mass,Personal Loan,2020-09-18,46-55,South
718,5e388697-d6e5-45b7-81b3-9e149074c773,32,F,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2024-11-14,26-35,West
719,efb6eccb-787a-4b0d-a161-6a957b8e68e4,43,F,Tamil Nadu,Chennai,Retail,Wealth,Credit Card,2020-10-11,36-45,South
720,9f3478fa-ed93-41d7-b5e4-39306bf53697,35,M,Rajasthan,Jaipur,Retail,Mass,Home Loan,2022-06-14,26-35,North
721,5c02b40d-dd78-4dcc-900f-71654a632a88,42,F,Telangana,Hyderabad,Retail,Mass,Home Loan,2022-08-18,36-45,South
722,0b764bbd-d5ac-443a-b4ce-c04ec637f07a,56,F,Delhi,Delhi,Retail,Mass,Personal Loan,2022-10-06,56-65,North
